,20대(19-29),30대,40대,50대,60대,70세 이상
종이신문 열독,3.1,4.2,7.5,10.4,13.5,10.3
TV 뉴스,48.2,70.1,85.6,91.2,93.0,94.0
인터넷 뉴스(모바일/PC),84.1,85.3,84.4,76.5,61.7,35.4
포털 뉴스,80.5,81.8,79.3,70.7,56.3,29.5
메신저 뉴스,19.6,20.3,17.8,12.6,7.4,3.2
SNS 뉴스,16.3,14.9,8.6,5.8,2.7,1.5
온라인 동영상 플랫폼 이용,93.9,90.4,87.8,82.4,73.3,50.2
온라인 동영상 플랫폼 뉴스,34.6,35.5,37.4,34.9,24.6,11.9
숏폼 이용,82.5,81.4,69.4,55.7,43.0,25.3
숏폼 뉴스,26.5,34.3,28.0,26.0,15.2,7.1
OTT 뉴스,7.9,7.1,7.2,4.8,1.9,1.5
생성형 AI 이용,50.7,38.5,25.4,10.6,3.4,0.8
생성형 AI 뉴스,3.9,3.7,2.5,2.4,0.5,0.0
라디오 뉴스,2.8,6.2,9.8,11.3,8.6,3.2
