,AI뉴스 이용자,AI이용자(뉴스X 포함),AI 비이용자,전체
n(무가중),128.0,1159.0,4841.0,6000.0
가중 비율%,2.1,20.7,79.3,100.0
평균 연령,39.9,36.7,54.0,50.4
연령 20대(19-29)%,26.9,36.2,9.2,14.8
연령 30대%,26.9,29.2,12.1,15.6
연령 40대%,20.0,21.2,16.3,17.3
연령 50대%,22.2,9.9,21.9,19.4
연령 60대%,3.9,2.9,21.4,17.6
연령 70세 이상%,0.0,0.6,19.1,15.3
종이신문 열독%,18.7,6.3,8.9,8.4
TV 뉴스%,80.3,65.2,85.6,81.4
포털 뉴스%,97.6,85.3,61.7,66.5
온라인 동영상 플랫폼 뉴스%,84.6,46.2,25.8,30.0
숏폼 뉴스%,75.7,40.3,18.4,22.9
뉴스전반 신뢰도,3.36,3.46,3.43,3.44
포털뉴스 신뢰도,3.32,3.23,3.05,3.08
크리에이터뉴스 신뢰도,2.98,2.69,2.68,2.68
유료 이용 경험%,9.1,3.3,1.1,1.5
유료 이용 의향%,10.2,4.9,1.9,2.5
대학 재학 이상%,86.9,87.3,42.0,51.3
