year,종이신문,TV 뉴스,포털 뉴스,동영상 뉴스,숏폼 뉴스,AI 뉴스,n,종이신문(공식),TV 뉴스(공식),포털 뉴스(공식),동영상 뉴스(공식),숏폼 뉴스(공식)
2016,,,,,,,,20.9,83.2,,,
2017,,,,,,,,16.7,85.5,,,
2018,17.7,85.4,76.0,6.7,,,5040.0,17.7,85.4,76.0,6.7,
2019,12.3,82.8,73.6,12.0,,,5040.0,12.3,82.8,73.6,12.0,
2020,10.2,85.0,75.8,24.4,,,5010.0,10.2,85.0,75.8,24.4,
2021,8.9,83.4,79.2,26.7,,,5010.0,8.9,83.4,79.2,26.7,
2022,9.7,76.8,75.1,20.0,,,58936.0,,,,,
2023,10.2,76.2,69.6,25.1,13.7,,5000.0,10.2,76.2,69.6,25.1,13.7
2024,9.6,72.2,67.7,18.4,11.1,,6000.0,9.6,72.2,67.7,18.4,11.1
2025,8.4,81.4,66.5,30.0,22.9,2.1,6000.0,8.4,81.4,66.5,30.0,22.9
