ID,WT,age,sex,region,edu,job,income,polview,d_paper,d_magazine,d_tv,d_radio,d_portal,d_messenger,d_sns,d_video,d_shortform,d_ott,d_ai,d_podcast,u_paper,u_magazine,u_tv,u_radio,u_portal,u_messenger,u_sns,u_video,u_shortform,u_ott,u_ai,u_podcast,p_share,p_like,p_comment,engagement,interest,trust_news,trust_new_src,paid_exp,paid_intent,news_none,main_path,cluster,pc1,pc2
47.0,1.256426511219878,41.0,1.0,2.0,3.0,2.0,7.0,2.0,0.0,0.0,3.0,1.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,4.0,3.0,3.0,0,0,0,5.0,0,0.2711430245988238,-0.18149817004007746
57.0,0.7251780724350435,57.0,1.0,17.0,3.0,3.0,4.0,2.0,7.0,0.0,7.0,7.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,4.0,3.0,3.0,0,0,0,1.0,4,0.7964874469843232,0.5071616786519206
58.0,0.35152222475895,71.0,1.0,17.0,2.0,4.0,2.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,3.0,3.0,0,0,0,2.0,1,-0.4784850172231044,0.361470599714916
59.0,0.5102339548235839,47.0,2.0,17.0,2.0,4.0,2.0,3.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,3.0,0,0,0,2.0,1,-0.4350977200582327,0.392488984091552
60.0,0.5125597532741014,39.0,1.0,17.0,3.0,6.0,4.0,3.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2.0,4.0,3.0,0,0,0,5.0,2,0.5213102074895545,0.38603835138755893
61.0,0.7992022714933187,19.0,2.0,17.0,3.0,11.0,8.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,4.0,3.0,0,0,0,2.0,1,-0.47594951937454205,-0.06296450866834535
62.0,0.6609286596345185,82.0,2.0,17.0,2.0,10.0,2.0,3.0,7.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0,3.0,3.0,0,0,0,1.0,1,-0.4405723265727438,0.4257139413609847
63.0,0.7925176032608409,19.0,1.0,17.0,3.0,11.0,5.0,3.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2.0,4.0,3.3333333333333335,0,0,0,5.0,4,0.7238649186020655,0.41810362950454305
64.0,1.064184987236372,57.0,2.0,17.0,2.0,3.0,3.0,3.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0,4.0,4.0,0,0,0,2.0,1,-0.4350977200582327,0.392488984091552
65.0,0.6885101694946415,63.0,2.0,17.0,3.0,3.0,4.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,4.0,2.6666666666666665,0,0,0,2.0,1,-0.4784850172231044,0.361470599714916
