ID,WT,age,sex,region,edu,job,income,polview,d_paper,d_magazine,d_tv,d_radio,d_portal,d_messenger,d_sns,d_video,d_shortform,d_ott,d_ai,d_podcast,u_paper,u_magazine,u_tv,u_radio,u_portal,u_messenger,u_sns,u_video,u_shortform,u_ott,u_ai,u_podcast,p_share,p_like,p_comment,engagement,interest,trust_news,trust_new_src,paid_exp,paid_intent,news_none,main_path
47.0,1.256426511219878,41.0,1.0,2.0,3.0,2.0,7.0,2.0,0.0,0.0,3.0,1.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,4.0,3.0,3.0,0,0,0,5.0
57.0,0.7251780724350435,57.0,1.0,17.0,3.0,3.0,4.0,2.0,7.0,0.0,7.0,7.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,4.0,3.0,3.0,0,0,0,1.0
58.0,0.35152222475895,71.0,1.0,17.0,2.0,4.0,2.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,3.0,3.0,0,0,0,2.0
59.0,0.5102339548235839,47.0,2.0,17.0,2.0,4.0,2.0,3.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,3.0,0,0,0,2.0
60.0,0.5125597532741014,39.0,1.0,17.0,3.0,6.0,4.0,3.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2.0,4.0,3.0,0,0,0,5.0
61.0,0.7992022714933187,19.0,2.0,17.0,3.0,11.0,8.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,4.0,3.0,0,0,0,2.0
62.0,0.6609286596345185,82.0,2.0,17.0,2.0,10.0,2.0,3.0,7.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0,3.0,3.0,0,0,0,1.0
63.0,0.7925176032608409,19.0,1.0,17.0,3.0,11.0,5.0,3.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2.0,4.0,3.3333333333333335,0,0,0,5.0
64.0,1.064184987236372,57.0,2.0,17.0,2.0,3.0,3.0,3.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0,4.0,4.0,0,0,0,2.0
65.0,0.6885101694946415,63.0,2.0,17.0,3.0,3.0,4.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,4.0,2.6666666666666665,0,0,0,2.0
66.0,0.5438835543262827,55.0,1.0,17.0,3.0,5.0,3.0,3.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,3.0,0,0,0,2.0
67.0,0.4782255974871244,42.0,1.0,17.0,2.0,3.0,6.0,3.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,3.0,0,0,0,2.0
68.0,0.4692837049869337,37.0,2.0,17.0,3.0,6.0,6.0,3.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0,4.0,4.0,0,0,0,2.0
70.0,0.5585803119026185,52.0,2.0,3.0,4.0,7.0,8.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,3.6666666666666665,0,0,0,5.0
71.0,0.8354397317063174,41.0,2.0,3.0,3.0,3.0,8.0,3.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2.0,3.0,3.6666666666666665,0,0,0,5.0
72.0,0.8378704678539277,52.0,2.0,3.0,3.0,3.0,9.0,3.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,3.0,3.0,2.3333333333333335,0,0,0,2.0
73.0,0.8055045407375383,35.0,2.0,3.0,3.0,10.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.0,3.0,3.6666666666666665,0,0,0,14.0
74.0,0.7499767854851214,63.0,2.0,3.0,2.0,10.0,5.0,4.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4.0,2.0,2.6666666666666665,0,0,0,2.0
75.0,0.8613670846053834,72.0,2.0,3.0,1.0,10.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,4.333333333333333,0,0,1,9998.0
76.0,0.8485953827167262,57.0,1.0,3.0,2.0,12.0,1.0,3.0,0.0,0.0,4.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,3.0,4.0,4.0,0,0,0,5.0
77.0,0.5438835543262828,55.0,1.0,17.0,3.0,6.0,9.0,1.0,0.0,0.0,7.0,7.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,2,5.0,4.0,4.0,0,0,0,3.0
78.0,0.7501447066782879,37.0,1.0,3.0,3.0,6.0,5.0,2.0,0.0,0.0,3.0,0.0,4.0,4.0,2.0,3.0,4.0,0.0,0.0,0.0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,2,3.0,4.0,3.3333333333333335,0,0,0,5.0
