sido,n,wt_n,종이신문열독률,지역신문열독률,인터넷뉴스이용률,모바일뉴스이용률,TV뉴스시청률,뉴스미이용률,뉴스레퍼토리,뉴스신뢰도,이용뉴스신뢰도,60대이상비중,중졸이하비중,저소득비중
강원,2255,1762.188,9.629,11.072,67.115,66.697,77.24,10.363,1.854,2.986,3.348,36.757,22.249,21.37
경기,11026,15379.819,9.732,5.263,81.546,81.161,72.675,7.243,2.045,3.206,3.492,25.949,6.746,7.215
경남,3787,3713.499,8.627,1.972,72.482,72.241,82.176,4.674,2.15,3.018,3.348,32.596,15.91,16.366
경북,3382,3034.402,10.12,8.856,70.217,69.807,84.55,4.524,2.027,3.048,3.404,37.157,22.854,20.207
광주,2473,1638.424,7.355,4.293,72.691,72.562,83.182,6.873,2.014,3.007,3.361,26.864,15.804,14.941
대구,3235,2702.053,9.958,6.615,75.892,75.349,78.877,4.302,2.164,3.169,3.281,30.898,16.632,13.278
대전,2371,1670.526,7.675,4.155,79.821,79.791,78.85,7.083,2.029,3.136,3.566,27.34,11.367,10.705
부산,3843,3839.806,9.98,7.735,80.818,80.761,83.059,4.711,2.367,3.133,3.406,34.576,13.079,16.93
서울,6860,11041.121,12.402,5.475,82.84,82.382,75.871,4.909,2.21,3.252,3.523,28.417,9.851,9.756
세종,1321,393.642,8.273,2.557,76.36,76.36,70.8,14.159,1.776,3.307,3.549,19.746,6.619,6.831
울산,2127,1244.035,9.523,8.275,79.982,79.768,88.555,2.132,2.496,3.028,3.362,27.233,11.032,17.157
인천,3717,3367.829,10.161,3.567,83.519,83.183,72.127,5.662,2.125,3.143,3.384,27.681,7.205,7.946
전남,2624,2026.257,9.667,6.387,57.725,57.02,79.476,5.89,1.825,3.026,3.281,39.154,34.188,24.398
전북,2672,2038.663,7.965,7.41,69.141,68.957,70.984,8.778,1.902,2.898,3.181,36.109,25.598,21.152
제주,1592,745.741,7.835,10.822,71.068,70.837,82.433,5.153,2.111,3.153,3.403,28.845,16.244,18.992
충남,2932,2471.279,5.499,4.851,66.657,66.195,72.86,11.034,1.748,3.154,3.441,32.57,20.241,13.044
충북,2719,1866.716,6.996,6.444,68.088,66.991,76.28,12.694,1.721,3.315,3.569,32.152,10.792,14.834
